address;longitude;latitude;index;content;geocodetype
г. Кронштадт Фейгина ул. 4;29.760179;59.995984;39;[object Object];exact
г. Кронштадт Петровская ул. 10к2;29.775765;59.986925;40;[object Object];exact
г. Кронштадт Широкая ул. 4;29.782404;59.994054;41;[object Object];exact
г. Кронштадт Лебедева ул. 5;29.786742;59.986331;42;[object Object];exact
г. Кронштадт Советская ул. 7;29.78544;59.992096;43;[object Object];exact
г. Кронштадт Восстания ул. 76;29.770869;59.999714;44;[object Object];exact
г. Кронштадт Посадская ул. 42к1;29.76035;59.992915;45;[object Object];exact
г. Кронштадт Комсомола ул. 1/16;29.78827;59.993154;46;[object Object];exact
г. Кронштадт Интернациональная ул. 6а;29.789348;59.990372;47;[object Object];exact
г. Кронштадт Красная ул. 9;29.773879;59.989103;48;[object Object];exact
г. Кронштадт Ленина пр. 12;29.767465;59.99791;49;[object Object];exact
г. Кронштадт Ленина пр. 40;29.761635;59.990854;50;[object Object];exact
г. Кронштадт Посадская ул. 48;29.758679;59.992042;51;[object Object];exact
г. Кронштадт Пролетарская ул. 17;29.789141;59.990841;52;[object Object];exact
г. Кронштадт Кронштадтское шоссе 12;29.756164;60.000627;53;[object Object];exact
г. Кронштадт Аммермана ул. 36;29.787263;59.988842;54;[object Object];exact
г. Кронштадт Кронштадтская ул. 5;29.77175;59.998643;55;[object Object];exact
г. Кронштадт Посадская ул. 15;29.76291;59.997959;56;[object Object];exact
г. Кронштадт Ленина пр. 57;29.760808;59.990953;57;[object Object];exact
г. Кронштадт Посадская ул. 42к2;29.761078;59.992767;58;[object Object];exact
г. Кронштадт Ленинградская ул. 8;29.789195;59.987731;59;[object Object];exact
г. Кронштадт Кронштадтское шоссе 38;29.723088;60.011621;60;[object Object];exact
г. Кронштадт Зосимова ул. 18/15;29.760485;59.998049;61;[object Object];exact
г. Кронштадт Восстания ул. 5;29.782682;59.995503;62;[object Object];exact
г. Кронштадт Владимирская ул. 27;29.770555;59.998373;63;[object Object];exact
г. Кронштадт Посадская ул. 23;29.76097;59.995674;64;[object Object];exact
г. Кронштадт Ленинградская ул. 12;29.786841;59.988239;65;[object Object];exact
г. Кронштадт Ленина пр. 1;29.768821;60.000677;66;[object Object];exact
г. Кронштадт Восстания ул. 16;29.787749;59.993505;67;[object Object];exact
г. Кронштадт Восстания ул. 80;29.768336;60.001068;68;[object Object];exact
г. Кронштадт Ленина пр. 31;29.76406;59.994765;69;[object Object];exact
г. Кронштадт Гидростроителей ул. 6;29.720016;60.011504;70;[object Object];exact
г. Кронштадт Советская ул. 37;29.776349;59.993955;71;[object Object];exact
г. Кронштадт Широкая ул. 7;29.783113;59.99449;72;[object Object];exact
г. Кронштадт Зосимова ул. 6/40;29.762236;60.00011;73;[object Object];exact
г. Кронштадт Мануильского ул. 25;29.79056;59.988905;74;[object Object];exact
г. Кронштадт Андреевская ул. 5;29.763216;59.99616;75;[object Object];exact
г. Кронштадт Аммермана ул. 29;29.785125;59.987123;76;[object Object];exact
г. Кронштадт Ленина пр. 5;29.767465;59.999989;77;[object Object];exact
г. Кронштадт Гражданская ул. 8;29.764877;59.997937;78;[object Object];exact
г. Кронштадт Посадская ул. 12;29.764617;59.998837;79;[object Object];exact
г. Кронштадт Лебедева ул. 3;29.787829;59.986088;80;[object Object];exact
г. Кронштадт Восстания ул. 22;29.785952;59.994049;81;[object Object];exact
г. Кронштадт Комсомола ул. 3/2;29.787722;59.992452;82;[object Object];exact
г. Кронштадт Карла Маркса ул. 12;29.768138;59.996448;83;[object Object];exact
г. Кронштадт Сургина ул. 7;29.76079;59.992276;84;[object Object];exact
г. Кронштадт Флотская ул. 3;29.777184;59.996524;85;[object Object];exact
г. Кронштадт Посадская ул. 9/36;29.764024;59.999201;86;[object Object];exact
г. Кронштадт Советская ул. 3;29.786572;59.991871;87;[object Object];exact
г. Кронштадт Советская ул. 41;29.773402;59.994553;88;[object Object];exact
г. Кронштадт Гражданская ул. 25;29.761051;59.999093;89;[object Object];exact
г. Кронштадт Ленина пр. 5;29.767465;59.999989;90;[object Object];exact
г. Кронштадт Велещинского ул. 7/14;29.762138;59.993716;91;[object Object];exact
г. Кронштадт Советская ул. 5;29.786015;59.991961;92;[object Object];exact
г. Кронштадт Петровская ул. 10к1;29.775513;59.987357;93;[object Object];exact
г. Кронштадт Гражданская ул. 11;29.765327;59.998175;94;[object Object];exact
г. Кронштадт Восстания ул. 64;29.774229;59.998193;95;[object Object];exact
г. Кронштадт Красная ул. 17;29.773852;59.990138;96;[object Object];exact
г. Кронштадт Ленина пр. 38;29.76185;59.991093;97;[object Object];exact
г. Кронштадт Аммермана ул. 15/10;29.787811;59.990561;98;[object Object];exact
г. Кронштадт Флотская ул. 29/9;29.768614;59.998216;99;[object Object];exact
г. Кронштадт Петровская ул. 8к1;29.777032;59.987033;100;[object Object];exact
г. Кронштадт Посадская ул. 47;29.757817;59.99193;101;[object Object];exact
г. Кронштадт Андреевская ул. 9;29.760952;59.996677;102;[object Object];exact
г. Кронштадт Цитадельское ш. 45/12;29.71644;60.008176;103;[object Object];exact
г. Кронштадт Ленина пр. 49;29.761733;59.992123;104;[object Object];exact
г. Кронштадт Карла Либкнехта ул. 15а;29.783293;59.993518;105;[object Object];exact
г. Кронштадт Восстания ул. 26;29.784047;59.994643;106;[object Object];exact
г. Кронштадт Посадская ул. 22;29.762856;59.997032;107;[object Object];exact
г. Кронштадт Красная ул. 15;29.774471;59.989918;108;[object Object];exact
г. Кронштадт Зосимова ул. 22к2;29.760494;59.99732;109;[object Object];exact
г. Кронштадт Широкая ул. 10;29.780454;59.994405;110;[object Object];exact
г. Кронштадт Владимирская ул. 17/5;29.772824161517914;59.997846517606305;111;[object Object];near
г. Кронштадт Карла Либкнехта ул. 25;29.779969;59.994234;112;[object Object];exact
г. Кронштадт Кронштадтская ул. 17;29.766432;59.999732;113;[object Object];exact
г. Кронштадт Советская ул. 15;29.78235;59.99283;114;[object Object];exact
г. Кронштадт Велещинского ул. 9/13;29.761006;59.993896;115;[object Object];exact
г. Кронштадт Петровская ул. 12/4;29.773897;59.987668;116;[object Object];exact
г. Кронштадт Гусева ул. 4;29.787299;59.992789;117;[object Object];exact
г. Кронштадт Всеволода Вишневского ул. 5;29.764105;59.997284;118;[object Object];exact
г. Кронштадт Ленинградская ул. 11/41;29.787299;59.988527;119;[object Object];exact
г. Кронштадт Мартынова ул. 11;29.75894;59.991214;120;[object Object];exact
г. Кронштадт Карла Маркса ул. 13;29.765614;59.994504;121;[object Object];exact
г. Кронштадт Зосимова ул. 7;29.758949;59.998085;122;[object Object];exact
г. Кронштадт Советская ул. 11;29.784551;59.992762;123;[object Object];number
г. Кронштадт Андреевская ул. 14;29.759074;59.99665;124;[object Object];exact
г. Кронштадт Кронштадтская ул. 9;29.770734;59.998828;125;[object Object];exact
г. Кронштадт Флотская ул. 5;29.776636;59.996632;126;[object Object];exact
г. Кронштадт Интернациональная ул. 5/11;29.791081;59.990444;127;[object Object];exact
г. Кронштадт Интернациональная ул. 7/22;29.789869;59.990696;128;[object Object];exact
г. Кронштадт Ленинградская ул. 3;29.789348;59.988077;129;[object Object];exact
г. Кронштадт Посадская ул. 36/11;29.760548;59.994292;130;[object Object];exact
г. Кронштадт Ленина пр. 8;29.769082;59.998603;131;[object Object];exact
г. Кронштадт Флотская ул. 17;29.77342;59.997311;132;[object Object];exact
г. Кронштадт Гусева ул. 6;29.786671;59.992884;133;[object Object];exact
г. Кронштадт Восстания ул. 74;29.771947;59.999287;134;[object Object];exact
г. Кронштадт Флотская ул. 7;29.775513;59.996839;135;[object Object];exact
г. Кронштадт Гражданская ул. 9;29.765866;59.998063;136;[object Object];exact
г. Кронштадт Фейгина ул. 10;29.759452;59.995107;137;[object Object];exact
г. Кронштадт Станюковича ул. 1/9;29.724705;60.009175;138;[object Object];exact
г. Кронштадт Якорная пл. 3В;29.780023;59.991313;139;[object Object];exact
г. Кронштадт Кронштадтское шоссе 10к2;29.75602;60.001329;140;[object Object];exact
г. Кронштадт Всеволода Вишневского ул. 18;29.76167;59.997424;141;[object Object];exact
г. Кронштадт Гражданская ул. 23;29.761715;59.998985;142;[object Object];exact
г. Кронштадт Кронштадтское шоссе 10к3;29.755355;60.000866;143;[object Object];exact
г. Кронштадт Юрия Инге ул. 11;29.761554;59.994333;144;[object Object];exact
г. Кронштадт Посадская ул. 17/14;29.762281;59.997181;145;[object Object];exact
г. Кронштадт Гусева ул. 5;29.786302;59.993433;146;[object Object];exact
г. Кронштадт Восстания ул. 72а;29.772468;59.999012;147;[object Object];exact
г. Кронштадт Посадская ул. 45;29.75796;59.992114;148;[object Object];exact
г. Кронштадт Советская ул. 11;29.784219354871272;59.99241868110159;149;[object Object];number
г. Кронштадт Зосимова ул. 42/23;29.756694;59.993878;150;[object Object];exact
г. Кронштадт Сургина ул. 9;29.760332;59.992366;151;[object Object];exact
г. Кронштадт Мануильского ул. 3;29.791396;59.991754;152;[object Object];exact
г. Кронштадт Ленина пр. 32;29.762901;59.992366;153;[object Object];exact
г. Кронштадт Красная ул. 8к3;29.77537;59.988689;154;[object Object];exact
г. Кронштадт Кронштадтское шоссе 34;29.725909;60.01074;155;[object Object];exact
г. Кронштадт Велещинского ул. 19/40;29.757287;59.994693;156;[object Object];exact
г. Кронштадт Сургина ул. 6;29.760332;59.991588;157;[object Object];exact
г. Кронштадт Кронштадтское шоссе 8;29.757592;60.002094;158;[object Object];exact
г. Кронштадт Флотская ул. 15;29.774292;59.997154;159;[object Object];exact
г. Кронштадт Мануильского ул. 41;29.788665;59.986722;160;[object Object];exact
г. Кронштадт Восстания ул. 20;29.786671;59.993838;161;[object Object];exact
г. Кронштадт Гусева ул. 9/4;29.78534110845893;59.9935751770011;162;[object Object];number
г. Кронштадт Посадская ул. 1/82;29.765937;60.001626;163;[object Object];exact
г. Кронштадт Рошаля пл. 10;29.778693894492307;59.99390266631561;164;[object Object];street
г. Кронштадт Мануильского ул. 2;29.793111;59.991453;165;[object Object];exact
г. Кронштадт Мартынова ул. 9;29.759667;59.991426;166;[object Object];exact
г. Кронштадт Ленина пр. 28;29.763377;59.992929;167;[object Object];exact
г. Кронштадт Владимирская ул. 49;29.765443;59.999593;168;[object Object];exact
г. Кронштадт Советская ул. 9;29.784739;59.992236;169;[object Object];exact
г. Кронштадт Петровская ул. 8к2;29.777445;59.986664;170;[object Object];exact
г. Кронштадт Гражданская ул. 21;29.762551;59.998886;171;[object Object];exact
г. Кронштадт Ленина пр. 53;29.761105;59.991268;172;[object Object];exact
г. Кронштадт Ленина пр. 30;29.76318;59.992654;173;[object Object];exact
г. Кронштадт Восстания ул. 10/4;29.791288;59.992492;174;[object Object];exact
г. Кронштадт Кронштадтское шоссе 10к1;29.756631;60.001788;175;[object Object];exact
г. Кронштадт Широкая ул. 6;29.781784;59.994162;176;[object Object];exact
г. Кронштадт Сургина ул. 11;29.760045;59.992452;177;[object Object];exact
г. Кронштадт Цитадельское ш. 39;29.722306;60.007636;178;[object Object];exact
г. Кронштадт Флотская ул. 13;29.774804;59.996974;179;[object Object];exact
г. Кронштадт Аммермана ул. 2;29.78986;59.992209;180;[object Object];exact
г. Кронштадт Мануильского ул. 9;29.791638;59.990868;181;[object Object];exact
г. Кронштадт Советская ул. 47;29.768462;59.995552;182;[object Object];exact
г. Кронштадт Карла Либкнехта ул. 30;29.780023;59.993599;183;[object Object];exact
г. Кронштадт Красная ул. 11;29.77422;59.989558;184;[object Object];exact
г. Кронштадт Ленина пр. 5;29.767465;59.999989;185;[object Object];exact
г. Кронштадт Мартынова ул. 13;29.758122;59.991363;186;[object Object];exact
г. Кронштадт Посадская ул. 34;29.760979;59.994828;187;[object Object];exact
г. Кронштадт Флотская ул. 21;29.772477;59.997433;188;[object Object];exact
г. Кронштадт Карла Либкнехта ул. 29;29.779017;59.994247;189;[object Object];exact
г. Кронштадт Зосимова ул. 2;29.76441;60.001653;190;[object Object];exact
г. Кронштадт Ленина пр. 47;29.761994;59.992339;191;[object Object];exact
г. Кронштадт Станюковича ул. 9;29.720078;60.010564;192;[object Object];exact
г. Кронштадт Аммермана ул. 17;29.787201;59.99008;193;[object Object];exact
г. Кронштадт Пролетарская ул. 32/2;29.788782;59.989247;194;[object Object];exact
г. Кронштадт Советская ул. 31;29.779367;59.993289;195;[object Object];exact
г. Кронштадт Станюковича ул. 3;29.723986;60.009395;196;[object Object];exact
г. Кронштадт Гусева ул. 11;29.784506;59.993622;197;[object Object];exact
г. Кронштадт Советская ул. 33;29.778487;59.993469;198;[object Object];exact
г. Кронштадт Зосимова ул. 9;29.758814;59.997401;199;[object Object];exact
г. Кронштадт Гражданская ул. 10;29.764428;59.99804;200;[object Object];exact
г. Кронштадт Сургина ул. 8к1;29.759766;59.992195;201;[object Object];exact
г. Кронштадт Флотская ул. 2;29.778074;59.995516;202;[object Object];exact
г. Кронштадт Коммунистическая ул. 4/18;29.770366;59.98832;203;[object Object];number
г. Кронштадт Аммермана ул. 31;29.784658;59.986758;204;[object Object];exact
г. Кронштадт Аммермана ул. 22;29.789204;59.991345;205;[object Object];exact
г. Кронштадт Ленинградская ул. 6;29.789446;59.987681;206;[object Object];exact
г. Кронштадт Посадская ул. 19;29.761455;59.997014;207;[object Object];exact
г. Кронштадт Ленина пр. 24;29.763817;59.99359;208;[object Object];exact
г. Кронштадт Кронштадтское шоссе 6к2;29.757044;60.001041;209;[object Object];exact
г. Кронштадт Гусева ул. 12;29.785377;59.993149;210;[object Object];exact
г. Кронштадт Всеволода Вишневского ул. 7/20;29.763413;59.99741;211;[object Object];exact
г. Кронштадт Велещинского ул. 15;29.758419;59.994459;212;[object Object];exact
г. Кронштадт Советская ул. 39;29.775028;59.994202;213;[object Object];exact
г. Кронштадт Восстания ул. 72;29.773043;59.998805;214;[object Object];exact
г. Кронштадт Широкая ул. 2/5;29.78376;59.994027;215;[object Object];exact
г. Кронштадт Всеволода Вишневского ул. 20/20;29.760673;59.997653;216;[object Object];exact
г. Кронштадт Велещинского ул. 14;29.760601;59.99364;217;[object Object];exact
г. Кронштадт Карла Маркса ул. 17;29.764842;59.993523;218;[object Object];exact
г. Кронштадт Посадская ул. 8/36;29.765012;59.999606;219;[object Object];exact
г. Кронштадт Зосимова ул. 5;29.759685;59.998409;220;[object Object];exact
г. Кронштадт Флотская ул. 25;29.770052;59.997991;221;[object Object];exact
г. Кронштадт Широкая ул. 8;29.781353;59.994553;222;[object Object];exact
г. Кронштадт Посадская ул. 25;29.760736;59.995386;223;[object Object];exact
г. Кронштадт Широкая ул. 5;29.783697;59.994387;224;[object Object];exact
г. Кронштадт Мануильского ул. 1/8;29.79189;59.991826;225;[object Object];exact
г. Кронштадт Андреевская ул. 12;29.76088;59.996353;226;[object Object];exact
г. Кронштадт Гусева ул. 3;29.786886;59.993158;227;[object Object];exact
г. Кронштадт Литке ул. 11/37;29.724345;60.007996;228;[object Object];exact
г. Кронштадт Андреевская ул. 11;29.760386;59.996839;229;[object Object];exact
г. Кронштадт Цитадельское ш. 43;29.718075;60.00827;230;[object Object];exact
г. Кронштадт Мартынова ул. 1/33;29.762012;59.990552;231;[object Object];exact
г. Кронштадт Красная ул. 5;29.77325;59.989103;232;[object Object];exact
г. Кронштадт Флотская ул. 1;29.778011;59.996335;233;[object Object];exact
г. Кронштадт Зосимова ул. 34;29.757673;59.995129;234;[object Object];exact
г. Кронштадт Восстания ул. 18;29.787129;59.993694;235;[object Object];exact
г. Кронштадт Аммермана ул. 26;29.788449;59.990417;236;[object Object];exact
г. Кронштадт Никольский пер. 2/56;29.775109;59.997608;237;[object Object];exact
г. Кронштадт Кронштадтское шоссе 28;29.731784;60.008788;238;[object Object];exact
г. Кронштадт Велещинского ул. 8;29.762111;59.993334;239;[object Object];exact
г. Кронштадт Петровская ул. 12;29.773897;59.987668;240;[object Object];exact
г. Кронштадт Красная ул. 7;29.773187;59.989306;241;[object Object];exact
г. Кронштадт Кронштадтское шоссе 6к1;29.757637;60.001613;242;[object Object];exact
г. Кронштадт Мануильского ул. 5;29.792034;59.991394;243;[object Object];exact
г. Кронштадт Ленина пр. 26;29.763611;59.993361;244;[object Object];exact
г. Кронштадт Комсомола ул. 15;29.784461;59.987848;245;[object Object];exact
г. Кронштадт Пролетарская ул. 18;29.790524;59.991601;246;[object Object];exact
г. Кронштадт Флотская ул. 14;29.768884;59.997347;247;[object Object];exact
г. Кронштадт Советская ул. 13;29.782934;59.992596;248;[object Object];exact
г. Кронштадт Посадская ул. 4;29.766306;60.001077;249;[object Object];exact
г. Кронштадт Сургина ул. 8к2;29.759335;59.991772;250;[object Object];exact
г. Кронштадт Аммермана ул. 4;29.78941;59.99166;251;[object Object];exact
г. Кронштадт Кронштадтская ул. 10;29.771435;59.998391;252;[object Object];exact
г. Кронштадт Юрия Инге ул. 8;29.762344;59.994265;253;[object Object];exact
г. Кронштадт Пролетарская ул. 34;29.788386;59.988779;254;[object Object];exact
г. Кронштадт Мануильского ул. 39;29.788503;59.987217;255;[object Object];exact
г. Кронштадт Зосимова ул. 22к1;29.759991;59.997289;256;[object Object];exact
г. Кронштадт Зосимова ул. 11;29.757990266399187;59.99652063919927;257;[object Object];number
г. Кронштадт Красная ул. 2;29.773349;59.987335;258;[object Object];exact
г. Кронштадт Посадская ул. 52;29.758517;59.99184;259;[object Object];exact
г. Кронштадт Флотская ул. 12;29.76901;59.99625;260;[object Object];exact
г. Кронштадт Мануильского ул. 45/3;29.78782;59.985687;261;[object Object];exact
г. Кронштадт Аммермана ул. 44;29.786482;59.987969;262;[object Object];exact
г. Кронштадт Посадская ул. 5;29.764734;60.000101;263;[object Object];exact
г. Кронштадт Посадская ул. 38;29.760009;59.993671;264;[object Object];exact
г. Кронштадт Советская ул. 21а;29.780841;59.99301;265;[object Object];exact
г. Кронштадт Зосимова ул. 4;29.763404;60.00083;266;[object Object];exact
г. Кронштадт Посадская ул. 10/51;29.764877;59.999485;267;[object Object];exact
г. Кронштадт Станюковича ул. 7;29.722288;60.010699;268;[object Object];exact
г. Кронштадт Ленина пр. 21/2;29.765192;59.996137;269;[object Object];exact
г. Кронштадт Аммермана ул. 28;29.788198;59.989828;270;[object Object];exact
г. Кронштадт Карла Маркса ул. 21;29.764231;59.992753;271;[object Object];exact
г. Кронштадт Гидростроителей ул. 4;29.72157;60.011662;272;[object Object];exact
г. Кронштадт Цитадельское ш. 41;29.721129;60.008419;273;[object Object];exact
г. Кронштадт Гусева ул. 1;29.78758526378709;59.993020016858964;274;[object Object];number
г. Кронштадт Гидростроителей ул. 10;29.716611;60.009044;275;[object Object];exact
г. Кронштадт Станюковича ул. 8;29.718821;60.009687;276;[object Object];exact
г. Кронштадт Станюковича ул. 6;29.721408;60.009521;277;[object Object];exact
г. Кронштадт Литке ул. 7/32;29.726645;60.01002;278;[object Object];exact
г. Кронштадт Кронштадтское шоссе 36;29.724004;60.010803;279;[object Object];exact
г. Кронштадт Ленинградская ул. 9;29.788332;59.988298;280;[object Object];exact
г. Кронштадт Советская ул. 33;29.778487;59.993469;281;[object Object];exact
г. Кронштадт Советская ул. 19;29.781694;59.992884;282;[object Object];exact
г. Кронштадт Петровская ул. 13/6;29.773965588393292;59.98826833816273;283;[object Object];number
г. Кронштадт Манежный пер. 2;29.773349;59.990678;284;[object Object];exact
г. Кронштадт Мануильского ул. 37;29.789168;59.987321;285;[object Object];exact
г. Кронштадт Коммунистическая ул. 3;29.770438;59.989648;286;[object Object];exact
г. Кронштадт Ленинградская ул. 14;29.785548;59.988469;287;[object Object];exact
г. Кронштадт Аммермана ул. 27;29.785188;59.987335;288;[object Object];exact
г. Кронштадт Юрия Инге ул. 1;29.762686;59.995444;289;[object Object];exact
г. Кронштадт Юрия Инге ул. 3;29.762281;59.994999;290;[object Object];exact
г. Кронштадт Посадская ул. 26;29.76159;59.995534;291;[object Object];exact
г. Кронштадт Ленина пр. 39;29.762874;59.993874;292;[object Object];exact
г. Кронштадт Ленина пр. 29;29.764231;59.99503;293;[object Object];exact
г. Кронштадт Ленина пр. 25/2;29.764527;59.995399;294;[object Object];exact
г. Кронштадт Ленина пр. 35;29.763629;59.994247;295;[object Object];exact
г. Кронштадт Гражданская ул. 18;29.762236;59.99849;296;[object Object];exact
г. Кронштадт Всеволода Вишневского ул. 13;29.761697;59.998049;297;[object Object];exact
г. Кронштадт Большевистская ул. 6-8;29.764482;59.997491;298;[object Object];exact
г. Кронштадт Петровская ул. 19;29.771651;59.988541;299;[object Object];exact
г. Кронштадт Коммунистическая ул. 6/21;29.770993302749797;59.989067883737434;300;[object Object];number
г. Кронштадт Красная ул. 13;29.77431;59.989693;301;[object Object];exact
г. Кронштадт Петровская ул. 15;29.77290128384252;59.98834852716528;302;[object Object];near
г. Кронштадт Ленина пр. 22;29.764042;59.993829;303;[object Object];exact
г. Кронштадт Карла Маркса ул. 25;29.763728;59.992177;304;[object Object];exact
г. Кронштадт Ленина пр. 43;29.762551;59.992951;305;[object Object];exact
г. Кронштадт Сургина ул. 15/44;29.75929;59.99274;306;[object Object];exact
г. Кронштадт Посадская ул. 40;29.759784;59.993379;307;[object Object];exact
г. Кронштадт Велещинского ул. 12;29.761158;59.993532;308;[object Object];exact
г. Кронштадт Ленина пр. 41/6;29.762677;59.993185;309;[object Object];exact
г. Кронштадт Посадская ул. 51;29.757466;59.991529;310;[object Object];exact
г. Кронштадт Советская ул. 45;29.770016;59.995237;311;[object Object];exact
г. Кронштадт Ленина пр. 19;29.765434;59.996488;312;[object Object];exact
г. Кронштадт Ленина пр. 17;29.765605;59.996636;313;[object Object];exact
г. Кронштадт Посадская ул. 21;29.761311;59.996052;314;[object Object];exact
г. Кронштадт Гражданская ул. 7/11;29.766557;59.997919;315;[object Object];exact
г. Кронштадт Владимирская ул. 32;29.765677;59.99894;316;[object Object];exact
г. Кронштадт Гражданская ул. 17/13;29.763171;59.998585;317;[object Object];exact
г. Кронштадт Посадская ул. 3;29.765327;60.000848;318;[object Object];exact
г. Кронштадт Владимирская ул. 47;29.765533;59.999318;319;[object Object];exact
г. Кронштадт Ленина пр. 10;29.768031;59.998445;320;[object Object];exact
г. Кронштадт Флотская ул. 16/11;29.768282;59.997968;321;[object Object];exact
г. Кронштадт Владимирская ул. 19;29.772414;59.997937;322;[object Object];exact
г. Кронштадт Владимирская ул. 25;29.771579;59.998099;323;[object Object];exact
г. Кронштадт Кронштадтская ул. 3;29.772513;59.998463;324;[object Object];exact
г. Кронштадт Карла Маркса ул. 4/11;29.770151;59.999183;325;[object Object];exact
;NaN;NaN;326;undefined;NaN
